fault_intensity,method,success_rate,recovery_rate,avg_recovery_steps,avg_cost_proxy,avg_trace_events
0.1,self_healing_full,100.0,10.7,0.12,2.89,1.35
0.1,self_healing_no_budget,100.0,10.7,0.12,2.89,1.35
0.1,self_healing_no_classifier,100.0,10.7,0.12,2.89,1.35
0.1,self_healing_no_observability,100.0,10.7,0.12,2.89,0.0
0.1,self_healing_no_targeted_recovery,100.0,10.7,0.12,2.89,1.35
0.1,self_healing_no_verifier,100.0,10.7,0.12,1.89,1.35
0.2,self_healing_full,100.0,24.7,0.27,3.1,1.79
0.2,self_healing_no_budget,100.0,24.7,0.27,3.1,1.79
0.2,self_healing_no_classifier,99.3,24.0,0.32,3.15,1.88
0.2,self_healing_no_observability,100.0,24.7,0.27,3.1,0.0
0.2,self_healing_no_targeted_recovery,99.3,24.0,0.32,3.15,1.88
0.2,self_healing_no_verifier,100.0,24.7,0.27,2.1,1.79
0.3,self_healing_full,99.3,32.0,0.4,3.29,2.12
0.3,self_healing_no_budget,100.0,32.7,0.4,3.3,2.13
0.3,self_healing_no_classifier,98.0,30.7,0.5,3.41,2.33
0.3,self_healing_no_observability,99.3,32.0,0.4,3.29,0.0
0.3,self_healing_no_targeted_recovery,98.0,30.7,0.5,3.41,2.33
0.3,self_healing_no_verifier,99.3,32.0,0.4,2.29,2.12
0.4,self_healing_full,98.7,39.3,0.57,3.47,2.55
0.4,self_healing_no_budget,100.0,40.7,0.6,3.5,2.6
0.4,self_healing_no_classifier,94.3,35.0,0.74,3.66,2.89
0.4,self_healing_no_observability,98.7,39.3,0.57,3.47,0.0
0.4,self_healing_no_targeted_recovery,94.3,35.0,0.74,3.66,2.89
0.4,self_healing_no_verifier,98.7,39.3,0.57,2.47,2.55
0.5,self_healing_full,98.3,54.7,0.77,3.73,3.11
0.5,self_healing_no_budget,100.0,56.3,0.8,3.78,3.17
0.5,self_healing_no_classifier,87.0,43.3,1.13,4.13,3.82
0.5,self_healing_no_observability,98.3,54.7,0.77,3.73,0.0
0.5,self_healing_no_targeted_recovery,87.0,43.3,1.13,4.13,3.82
0.5,self_healing_no_verifier,98.3,54.7,0.77,2.73,3.11
