task_id,method,success,recovered,silent_failure,failure_detected,failure_signal,failure_class,actual_faults,final_answer,tool_calls,model_calls,verifier_calls,recovery_steps,latency_ms,cost_proxy,escalated,logs,recovery_budget,fault_intensity,seed,category
retrieval_001,retry_only,True,False,False,False,,,[],Product A has standard support for 12 months.,1,0,0,0,80,1,False,"[{'step': 'retry_execution', 'attempt': 0, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Product A has standard support for 12 months.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'Product A support policy'}, 'fault_eligible': True, 'seed': 4011433973, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Product A has standard support for 12 months.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_001,full_replanning,True,True,False,False,,,['partial_response'],Product A has standard support for 12 months.,2,2,0,1,160,4,False,"[{'step': 'full_replan', 'attempt': 0, 'content': 'Regenerate full plan from current task state.'}, {'step': 'execute_replanned_task', 'attempt': 0, 'response': {'tool': 'task_executor', 'status': 'error', 'error_type': 'partial_response', 'output': 'Partial response only', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'Product A support policy'}, 'fault_eligible': True, 'seed': 3573703338, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Partial response only', 'latency_ms': 80, 'fault_injected': True, 'fault_type': 'partial_response', 'actual_fault_type': 'partial_response'}}], 'actual_faults': ['partial_response']}}, {'step': 'full_replan', 'attempt': 1, 'content': 'Regenerate full plan from current task state.'}, {'step': 'execute_replanned_task', 'attempt': 1, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Product A has standard support for 12 months.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'Product A support policy'}, 'fault_eligible': True, 'seed': 1555603966, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Product A has standard support for 12 months.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_001,self_healing,True,False,False,False,,,[],Product A has standard support for 12 months.,1,0,1,0,80,2,False,"[{'step': 'initial_execution', 'attempt': 0, 'fault_intensity': 0.2, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Product A has standard support for 12 months.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'Product A support policy'}, 'fault_eligible': True, 'seed': 353462467, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Product A has standard support for 12 months.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_002,retry_only,True,False,False,False,,,[],Product B has a refund window of 30 days.,1,0,0,0,80,1,False,"[{'step': 'retry_execution', 'attempt': 0, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Product B has a refund window of 30 days.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'Product B refund window'}, 'fault_eligible': True, 'seed': 4092789047, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Product B has a refund window of 30 days.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_002,full_replanning,True,True,False,False,,,['malformed_output'],Product B has a refund window of 30 days.,2,2,0,1,160,4,False,"[{'step': 'full_replan', 'attempt': 0, 'content': 'Regenerate full plan from current task state.'}, {'step': 'execute_replanned_task', 'attempt': 0, 'response': {'tool': 'task_executor', 'status': 'error', 'error_type': 'malformed_output', 'output': '{bad_json: missing_quotes, broken', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'Product B refund window'}, 'fault_eligible': True, 'seed': 3267368142, 'response': {'tool': 'document_search', 'status': 'success', 'output': '{bad_json: missing_quotes, broken', 'latency_ms': 80, 'fault_injected': True, 'fault_type': 'malformed_output', 'actual_fault_type': 'malformed_output'}}], 'actual_faults': ['malformed_output']}}, {'step': 'full_replan', 'attempt': 1, 'content': 'Regenerate full plan from current task state.'}, {'step': 'execute_replanned_task', 'attempt': 1, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Product B has a refund window of 30 days.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'Product B refund window'}, 'fault_eligible': True, 'seed': 133083821, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Product B has a refund window of 30 days.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_002,self_healing,True,False,False,False,,,[],Product B has a refund window of 30 days.,1,0,1,0,80,2,False,"[{'step': 'initial_execution', 'attempt': 0, 'fault_intensity': 0.2, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Product B has a refund window of 30 days.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'Product B refund window'}, 'fault_eligible': True, 'seed': 3654003897, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Product B has a refund window of 30 days.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_003,retry_only,True,False,False,False,,,[],Enterprise customers receive priority support within 4 hours.,1,0,0,0,80,1,False,"[{'step': 'retry_execution', 'attempt': 0, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Enterprise customers receive priority support within 4 hours.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'enterprise SLA'}, 'fault_eligible': True, 'seed': 1537838628, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Enterprise customers receive priority support within 4 hours.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_003,full_replanning,True,False,False,False,,,[],Enterprise customers receive priority support within 4 hours.,1,1,0,0,80,2,False,"[{'step': 'full_replan', 'attempt': 0, 'content': 'Regenerate full plan from current task state.'}, {'step': 'execute_replanned_task', 'attempt': 0, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Enterprise customers receive priority support within 4 hours.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'enterprise SLA'}, 'fault_eligible': True, 'seed': 1225516058, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Enterprise customers receive priority support within 4 hours.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_003,self_healing,True,False,False,False,,,[],Enterprise customers receive priority support within 4 hours.,1,0,1,0,80,2,False,"[{'step': 'initial_execution', 'attempt': 0, 'fault_intensity': 0.2, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Enterprise customers receive priority support within 4 hours.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'enterprise SLA'}, 'fault_eligible': True, 'seed': 1662490489, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Enterprise customers receive priority support within 4 hours.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
retrieval_004,retry_only,True,False,False,False,,,[],Product A has standard support for 12 months.,1,0,0,0,80,1,False,"[{'step': 'retry_execution', 'attempt': 0, 'response': {'tool': 'task_executor', 'status': 'success', 'output': 'Product A has standard support for 12 months.', 'latency_ms': 80, 'tool_trace': [{'step_index': 0, 'tool': 'document_search', 'args': {'query': 'Product A support policy'}, 'fault_eligible': True, 'seed': 1559568703, 'response': {'tool': 'document_search', 'status': 'success', 'output': 'Product A has standard support for 12 months.', 'latency_ms': 80, 'fault_injected': False, 'fault_type': None, 'actual_fault_type': None}}], 'actual_faults': []}}]",1,0.2,1,retrieval_evidence
