category,method,success_rate,silent_failure_rate,avg_cost_proxy
calculation_verification,full_replanning,96.4,0.0,2.66
calculation_verification,react_style,96.1,0.0,2.66
calculation_verification,retry_only,95.6,0.0,1.41
calculation_verification,self_healing,100.0,0.0,2.27
calculation_verification,static_workflow,73.3,0.0,1.0
contradiction_resolution,full_replanning,96.4,0.0,4.3
contradiction_resolution,react_style,97.8,0.0,4.41
contradiction_resolution,retry_only,97.2,0.0,2.96
contradiction_resolution,self_healing,100.0,0.0,4.01
contradiction_resolution,static_workflow,76.4,0.0,2.3
multi_step_api_workflow,full_replanning,83.9,0.0,4.49
multi_step_api_workflow,react_style,83.6,0.0,4.55
multi_step_api_workflow,retry_only,87.8,0.0,2.81
multi_step_api_workflow,self_healing,94.7,0.0,3.91
multi_step_api_workflow,static_workflow,60.0,0.0,1.76
planning_tool_selection,full_replanning,95.8,0.0,4.08
planning_tool_selection,react_style,96.7,0.0,3.82
planning_tool_selection,retry_only,97.8,0.0,2.65
planning_tool_selection,self_healing,99.4,0.0,3.77
planning_tool_selection,static_workflow,69.7,0.0,2.0
retrieval_evidence,full_replanning,96.7,0.0,2.61
retrieval_evidence,react_style,96.4,0.0,2.72
retrieval_evidence,retry_only,94.2,0.0,1.4
retrieval_evidence,self_healing,100.0,0.0,2.29
retrieval_evidence,static_workflow,70.8,0.0,1.0
