task_id,category,method,recovery_budget,fault_intensity,seed,success,recovered,silent_failure,failure_detected,failure_signal,failure_class,actual_faults,tool_calls,model_calls,verifier_calls,recovery_steps,latency_ms,cost_proxy,escalated,final_answer
retrieval_001,retrieval_evidence,retry_only,1,0.2,1,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,retry_only,1,0.2,2,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,retry_only,1,0.2,3,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,retry_only,1,0.4,1,True,True,False,False,,,stale_context,2,0,0,1,160,2,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,retry_only,1,0.4,2,True,True,False,False,,,timeout,2,0,0,1,5080,2,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,retry_only,1,0.4,3,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,retry_only,2,0.2,1,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,retry_only,2,0.2,2,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,retry_only,2,0.2,3,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,retry_only,2,0.4,1,True,True,False,False,,,stale_context,2,0,0,1,160,2,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,retry_only,2,0.4,2,True,True,False,False,,,timeout,2,0,0,1,5080,2,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,retry_only,2,0.4,3,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,retry_only,3,0.2,1,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,retry_only,3,0.2,2,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,retry_only,3,0.2,3,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,retry_only,3,0.4,1,True,True,False,False,,,stale_context,2,0,0,1,160,2,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,retry_only,3,0.4,2,True,True,False,False,,,timeout,2,0,0,1,5080,2,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,retry_only,3,0.4,3,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,retry_only,5,0.2,1,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,retry_only,5,0.2,2,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,retry_only,5,0.2,3,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,retry_only,5,0.4,1,True,True,False,False,,,stale_context,2,0,0,1,160,2,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,retry_only,5,0.4,2,True,True,False,False,,,timeout,2,0,0,1,5080,2,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,retry_only,5,0.4,3,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,full_replanning,1,0.2,1,True,True,False,False,,,partial_response,2,2,0,1,160,4,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,full_replanning,1,0.2,2,True,False,False,False,,,,1,1,0,0,80,2,False,Product A has standard support for 12 months.
