recovery_budget,fault_intensity,method,success_rate,recovery_rate,silent_failure_rate,avg_tool_calls,avg_model_calls,avg_verifier_calls,avg_recovery_steps,avg_latency_ms,avg_cost_proxy,executions
1,0.2,full_replanning,0.9466666666666667,0.17333333333333334,0.0,2.0233333333333334,1.2266666666666666,0.0,0.28,383.45,3.25,300
1,0.2,retry_only,0.9166666666666666,0.17666666666666667,0.0,2.0366666666666666,0.0,0.0,0.3433333333333333,483.2,2.0366666666666666,300
1,0.2,self_healing,0.9766666666666667,0.19,0.0,2.01,0.0,1.0,0.21333333333333335,283.8666666666667,3.01,300
1,0.4,full_replanning,0.8166666666666667,0.24666666666666667,0.0,2.22,1.43,0.0,0.6133333333333333,822.5666666666667,3.65,300
1,0.4,retry_only,0.79,0.2833333333333333,0.0,2.263333333333333,0.0,0.0,0.7033333333333334,743.0666666666667,2.263333333333333,300
1,0.4,self_healing,0.9033333333333333,0.31333333333333335,0.0,2.243333333333333,0.0,1.0,0.41,543.3666666666667,3.243333333333333,300
2,0.2,full_replanning,0.9866666666666667,0.21333333333333335,0.0,2.1133333333333333,1.28,0.0,0.29333333333333333,437.25,3.3933333333333335,300
2,0.2,retry_only,0.9766666666666667,0.23666666666666666,0.0,2.1766666666666667,0.0,0.0,0.36666666666666664,522.7666666666667,2.1766666666666667,300
2,0.2,self_healing,0.99,0.20333333333333334,0.0,2.046666666666667,0.0,1.0,0.23666666666666666,318.98333333333335,3.046666666666667,300
2,0.4,full_replanning,0.9,0.33,0.0,2.51,1.6133333333333333,0.0,0.7133333333333334,985.5833333333334,4.123333333333333,300
2,0.4,retry_only,0.9,0.3933333333333333,0.0,2.5633333333333335,0.0,0.0,0.8033333333333333,874.4666666666667,2.5633333333333335,300
2,0.4,self_healing,0.9666666666666667,0.37666666666666665,0.0,2.4066666666666667,0.0,1.0,0.5066666666666667,567.7666666666667,3.4066666666666667,300
3,0.2,full_replanning,1.0,0.22666666666666666,0.0,2.1333333333333333,1.2933333333333332,0.0,0.29333333333333333,438.1333333333333,3.4266666666666667,300
3,0.2,retry_only,0.9866666666666667,0.24666666666666667,0.0,2.2066666666666666,0.0,0.0,0.38,557.2,2.2066666666666666,300
3,0.2,self_healing,1.0,0.21333333333333335,0.0,2.066666666666667,0.0,1.0,0.24666666666666667,320.06666666666666,3.066666666666667,300
3,0.4,full_replanning,0.9566666666666667,0.38666666666666666,0.0,2.6866666666666665,1.7133333333333334,0.0,0.7566666666666667,1061.1833333333334,4.4,300
3,0.4,retry_only,0.9466666666666667,0.44,0.0,2.6933333333333334,0.0,0.0,0.8566666666666667,930.8166666666667,2.6933333333333334,300
3,0.4,self_healing,0.9833333333333333,0.3933333333333333,0.0,2.4566666666666666,0.0,1.0,0.54,586.7,3.4566666666666666,300
5,0.2,full_replanning,1.0,0.22666666666666666,0.0,2.1333333333333333,1.2933333333333332,0.0,0.29333333333333333,438.1333333333333,3.4266666666666667,300
5,0.2,retry_only,1.0,0.26,0.0,2.2333333333333334,0.0,0.0,0.38333333333333336,558.55,2.2333333333333334,300
5,0.2,self_healing,1.0,0.21333333333333335,0.0,2.066666666666667,0.0,1.0,0.24666666666666667,320.06666666666666,3.066666666666667,300
5,0.4,full_replanning,0.9866666666666667,0.4166666666666667,0.0,2.8,1.7866666666666666,0.0,0.8,1149.8166666666666,4.586666666666667,300
5,0.4,retry_only,0.9833333333333333,0.4766666666666667,0.0,2.816666666666667,0.0,0.0,0.8966666666666666,1003.4833333333333,2.816666666666667,300
5,0.4,self_healing,1.0,0.41,0.0,2.4966666666666666,0.0,1.0,0.5633333333333334,588.7833333333333,3.4966666666666666,300
