recovery_budget,method,success_rate,recovery_rate,silent_failure_rate,avg_tool_calls,avg_model_calls,avg_verifier_calls,avg_recovery_steps,avg_latency_ms,avg_cost_proxy,executions
1,full_replanning,0.8816666666666667,0.21,0.0,2.1216666666666666,1.3283333333333334,0.0,0.44666666666666666,603.0083333333333,3.45,600
1,retry_only,0.8533333333333334,0.23,0.0,2.15,0.0,0.0,0.5233333333333333,613.1333333333333,2.15,600
1,self_healing,0.94,0.25166666666666665,0.0,2.1266666666666665,0.0,1.0,0.31166666666666665,413.6166666666667,3.1266666666666665,600
2,full_replanning,0.9433333333333334,0.27166666666666667,0.0,2.3116666666666665,1.4466666666666668,0.0,0.5033333333333333,711.4166666666666,3.7583333333333333,600
2,retry_only,0.9383333333333334,0.315,0.0,2.37,0.0,0.0,0.585,698.6166666666667,2.37,600
2,self_healing,0.9783333333333334,0.29,0.0,2.2266666666666666,0.0,1.0,0.37166666666666665,443.375,3.2266666666666666,600
3,full_replanning,0.9783333333333334,0.30666666666666664,0.0,2.41,1.5033333333333334,0.0,0.525,749.6583333333333,3.9133333333333336,600
3,retry_only,0.9666666666666667,0.3433333333333333,0.0,2.45,0.0,0.0,0.6183333333333333,744.0083333333333,2.45,600
3,self_healing,0.9916666666666667,0.30333333333333334,0.0,2.2616666666666667,0.0,1.0,0.3933333333333333,453.3833333333333,3.2616666666666667,600
5,full_replanning,0.9933333333333333,0.32166666666666666,0.0,2.466666666666667,1.54,0.0,0.5466666666666666,793.975,4.006666666666667,600
5,retry_only,0.9916666666666667,0.36833333333333335,0.0,2.525,0.0,0.0,0.64,781.0166666666667,2.525,600
5,self_healing,1.0,0.31166666666666665,0.0,2.2816666666666667,0.0,1.0,0.405,454.425,3.2816666666666667,600
