actual_fault_type,method,num_fault_cases,success_rate,recovery_rate,silent_failure_rate,avg_recovery_steps,avg_tool_calls,avg_model_calls,avg_verifier_calls,avg_latency_ms,avg_cost_proxy
contradictory_evidence,full_replanning,35,68.6,68.6,0.0,1.94,3.77,2.63,0.0,261.71,6.4
contradictory_evidence,react_style,39,79.5,79.5,0.0,1.92,4.08,2.72,0.0,279.1,6.79
contradictory_evidence,retry_only,35,85.7,85.7,0.0,1.66,3.91,0.0,0.0,263.71,3.91
contradictory_evidence,self_healing,31,100.0,100.0,0.0,1.35,3.87,0.0,1.0,254.35,4.87
contradictory_evidence,static_workflow,18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,80.0,1.0
malformed_output,full_replanning,135,71.1,71.1,0.0,1.95,3.59,2.66,0.0,1252.04,6.25
malformed_output,react_style,122,81.1,81.1,0.0,1.71,3.46,2.52,0.0,955.74,5.98
malformed_output,retry_only,141,68.8,68.8,0.0,1.93,3.37,0.0,0.0,1191.67,3.37
malformed_output,self_healing,109,98.2,98.2,0.0,1.32,3.51,0.0,1.0,584.54,4.51
malformed_output,static_workflow,102,0.0,0.0,0.0,0.0,1.3,0.0,0.0,66.18,1.3
partial_response,full_replanning,144,61.1,61.1,0.0,2.04,3.4,2.65,0.0,1182.92,6.05
partial_response,react_style,203,61.1,61.1,0.0,2.04,3.47,2.65,0.0,1216.13,6.12
partial_response,retry_only,178,59.0,59.0,0.0,2.12,3.49,0.0,0.0,1557.81,3.49
partial_response,self_healing,146,89.7,89.7,0.0,1.54,3.58,0.0,1.0,1178.32,4.58
partial_response,static_workflow,97,0.0,0.0,0.0,0.0,1.18,0.0,0.0,66.13,1.18
schema_drift,full_replanning,145,62.8,62.8,0.0,2.03,3.95,2.66,0.0,1567.62,6.61
schema_drift,react_style,131,49.6,49.6,0.0,2.22,3.88,2.72,0.0,1485.92,6.6
schema_drift,retry_only,161,62.7,62.7,0.0,1.99,3.87,0.0,0.0,1268.91,3.87
schema_drift,self_healing,134,89.6,89.6,0.0,1.63,4.22,0.0,1.0,1441.49,5.22
schema_drift,static_workflow,98,0.0,0.0,0.0,0.0,1.48,0.0,0.0,59.9,1.48
stale_context,full_replanning,65,64.6,64.6,0.0,1.92,3.15,2.57,0.0,838.08,5.72
stale_context,react_style,63,79.4,79.4,0.0,1.73,3.27,2.52,0.0,938.41,5.79
stale_context,retry_only,67,73.1,73.1,0.0,1.82,3.15,0.0,0.0,378.66,3.15
stale_context,self_healing,55,100.0,100.0,0.0,1.24,3.07,0.0,1.0,484.73,4.07
stale_context,static_workflow,58,0.0,0.0,0.0,0.0,1.0,0.0,0.0,80.0,1.0
timeout,full_replanning,189,52.9,52.9,0.0,2.19,4.03,2.72,0.0,7024.52,6.75
timeout,react_style,170,55.3,55.3,0.0,2.11,3.69,2.66,0.0,6583.09,6.35
timeout,retry_only,175,62.9,62.9,0.0,1.95,3.51,0.0,0.0,5967.09,3.51
timeout,self_healing,140,79.3,79.3,0.0,2.01,4.38,0.0,1.0,6917.96,5.38
timeout,static_workflow,115,0.0,0.0,0.0,0.0,1.32,0.0,0.0,5010.3,1.32
unavailable_tool,full_replanning,109,44.0,44.0,0.0,2.31,4.64,2.75,0.0,2297.94,7.39
unavailable_tool,react_style,108,50.9,50.9,0.0,2.22,4.39,2.73,0.0,1712.18,7.12
unavailable_tool,retry_only,90,64.4,64.4,0.0,2.04,4.39,0.0,0.0,1357.94,4.39
unavailable_tool,self_healing,97,75.3,75.3,0.0,2.14,5.23,0.0,1.0,2532.78,6.23
unavailable_tool,static_workflow,51,0.0,0.0,0.0,0.0,1.65,0.0,0.0,69.31,1.65
