fault_intensity,method,success_rate,silent_failure_rate,avg_cost_proxy
0.0,full_replanning,100.0,0.0,2.74
0.0,react_style,100.0,0.0,2.74
0.0,retry_only,100.0,0.0,1.74
0.0,self_healing,100.0,0.0,2.74
0.0,static_workflow,100.0,0.0,1.74
0.1,full_replanning,99.7,0.0,3.03
0.1,react_style,100.0,0.0,3.09
0.1,retry_only,99.3,0.0,1.95
0.1,self_healing,100.0,0.0,2.91
0.1,static_workflow,87.7,0.0,1.69
0.2,full_replanning,98.7,0.0,3.39
0.2,react_style,98.0,0.0,3.4
0.2,retry_only,97.7,0.0,2.18
0.2,self_healing,100.0,0.0,3.07
0.2,static_workflow,72.7,0.0,1.58
0.3,full_replanning,94.3,0.0,3.94
0.3,react_style,95.3,0.0,3.81
0.3,retry_only,96.7,0.0,2.29
0.3,self_healing,98.3,0.0,3.4
0.3,static_workflow,61.3,0.0,1.61
0.4,full_replanning,90.0,0.0,4.12
0.4,react_style,88.7,0.0,4.15
0.4,retry_only,90.0,0.0,2.56
0.4,self_healing,98.3,0.0,3.46
0.4,static_workflow,54.7,0.0,1.55
0.5,full_replanning,80.3,0.0,4.53
0.5,react_style,82.7,0.0,4.6
0.5,retry_only,83.3,0.0,2.74
0.5,self_healing,96.3,0.0,3.91
0.5,static_workflow,44.0,0.0,1.5
