task_id,category,method,fault_intensity,seed,success,recovered,silent_failure,failure_detected,failure_signal,failure_class,actual_faults,tool_calls,model_calls,verifier_calls,recovery_steps,latency_ms,cost_proxy,escalated,final_answer,has_actual_fault,actual_fault_list
retrieval_001,retrieval_evidence,static_workflow,0.3,3,False,False,False,True,timeout,,timeout,1,0,0,0,5000,1,False,,True,['timeout']
retrieval_001,retrieval_evidence,static_workflow,0.4,1,False,False,False,True,stale_context,,stale_context,1,0,0,0,80,1,False,Outdated policy: Product A support is 6 months.,True,['stale_context']
retrieval_001,retrieval_evidence,static_workflow,0.4,2,False,False,False,True,malformed_output,,malformed_output,1,0,0,0,80,1,False,"{bad_json: missing_quotes, broken",True,['malformed_output']
retrieval_001,retrieval_evidence,static_workflow,0.4,3,False,False,False,True,stale_context,,stale_context,1,0,0,0,80,1,False,Outdated policy: Product A support is 6 months.,True,['stale_context']
retrieval_001,retrieval_evidence,static_workflow,0.5,3,False,False,False,True,malformed_output,,malformed_output,1,0,0,0,80,1,False,"{bad_json: missing_quotes, broken",True,['malformed_output']
retrieval_001,retrieval_evidence,retry_only,0.3,1,True,True,False,False,,,timeout,2,0,0,1,5080,2,False,Product A has standard support for 12 months.,True,['timeout']
retrieval_001,retrieval_evidence,retry_only,0.4,1,True,True,False,False,,,stale_context,2,0,0,1,160,2,False,Product A has standard support for 12 months.,True,['stale_context']
retrieval_001,retrieval_evidence,retry_only,0.4,2,True,True,False,False,,,timeout,2,0,0,1,5080,2,False,Product A has standard support for 12 months.,True,['timeout']
retrieval_001,retrieval_evidence,react_style,0.1,1,True,True,False,False,,,timeout,2,2,0,1,5080,4,False,Product A has standard support for 12 months.,True,['timeout']
retrieval_001,retrieval_evidence,react_style,0.2,3,True,True,False,False,,,stale_context,2,2,0,1,160,4,False,Product A has standard support for 12 months.,True,['stale_context']
retrieval_001,retrieval_evidence,react_style,0.3,2,True,True,False,False,,,malformed_output,2,2,0,1,160,4,False,Product A has standard support for 12 months.,True,['malformed_output']
retrieval_001,retrieval_evidence,react_style,0.5,1,True,True,False,False,,,malformed_output,2,2,0,1,160,4,False,Product A has standard support for 12 months.,True,['malformed_output']
retrieval_001,retrieval_evidence,full_replanning,0.1,3,True,True,False,False,,,"stale_context,stale_context",3,3,0,2,240,6,False,Product A has standard support for 12 months.,True,"['stale_context', 'stale_context']"
retrieval_001,retrieval_evidence,full_replanning,0.2,1,True,True,False,False,,,partial_response,2,2,0,1,160,4,False,Product A has standard support for 12 months.,True,['partial_response']
retrieval_001,retrieval_evidence,full_replanning,0.3,1,True,True,False,False,,,"partial_response,malformed_output",3,3,0,2,240,6,False,Product A has standard support for 12 months.,True,"['partial_response', 'malformed_output']"
retrieval_001,retrieval_evidence,full_replanning,0.3,2,True,True,False,False,,,"stale_context,timeout",3,3,0,2,5160,6,False,Product A has standard support for 12 months.,True,"['stale_context', 'timeout']"
retrieval_001,retrieval_evidence,full_replanning,0.4,3,False,False,False,True,partial_response,,"timeout,malformed_output,partial_response",3,3,0,3,5160,6,False,Partial response only,True,"['timeout', 'malformed_output', 'partial_response']"
retrieval_001,retrieval_evidence,self_healing,0.1,3,True,True,False,False,,context_failure,stale_context,2,0,1,1,160,3,False,Product A has standard support for 12 months.,True,['stale_context']
retrieval_001,retrieval_evidence,self_healing,0.2,3,True,True,False,False,,schema_or_output_failure,malformed_output,2,0,1,1,160,3,False,Product A has standard support for 12 months.,True,['malformed_output']
retrieval_001,retrieval_evidence,self_healing,0.3,3,True,True,False,False,,schema_or_output_failure,partial_response,2,0,1,1,160,3,False,Product A has standard support for 12 months.,True,['partial_response']
retrieval_001,retrieval_evidence,self_healing,0.4,2,True,True,False,False,,context_failure,stale_context,2,0,1,1,160,3,False,Product A has standard support for 12 months.,True,['stale_context']
retrieval_001,retrieval_evidence,self_healing,0.5,1,True,True,False,False,,schema_or_output_failure,malformed_output,2,0,1,1,160,3,False,Product A has standard support for 12 months.,True,['malformed_output']
retrieval_001,retrieval_evidence,self_healing,0.5,2,True,True,False,False,,tool_invocation_failure,timeout,2,0,1,1,5080,3,False,Product A has standard support for 12 months.,True,['timeout']
retrieval_001,retrieval_evidence,self_healing,0.5,3,True,True,False,False,,schema_or_output_failure,"timeout,malformed_output",3,0,1,2,5160,4,False,Product A has standard support for 12 months.,True,"['timeout', 'malformed_output']"
retrieval_002,retrieval_evidence,static_workflow,0.2,2,False,False,False,True,partial_response,,partial_response,1,0,0,0,80,1,False,Partial response only,True,['partial_response']
retrieval_002,retrieval_evidence,static_workflow,0.3,1,False,False,False,True,timeout,,timeout,1,0,0,0,5000,1,False,,True,['timeout']
retrieval_002,retrieval_evidence,static_workflow,0.3,2,False,False,False,True,timeout,,timeout,1,0,0,0,5000,1,False,,True,['timeout']
retrieval_002,retrieval_evidence,static_workflow,0.3,3,False,False,False,True,stale_context,,stale_context,1,0,0,0,80,1,False,Outdated policy: Product A support is 6 months.,True,['stale_context']
retrieval_002,retrieval_evidence,static_workflow,0.4,1,False,False,False,True,timeout,,timeout,1,0,0,0,5000,1,False,,True,['timeout']
retrieval_002,retrieval_evidence,static_workflow,0.4,2,False,False,False,True,timeout,,timeout,1,0,0,0,5000,1,False,,True,['timeout']
retrieval_002,retrieval_evidence,static_workflow,0.4,3,False,False,False,True,malformed_output,,malformed_output,1,0,0,0,80,1,False,"{bad_json: missing_quotes, broken",True,['malformed_output']
retrieval_002,retrieval_evidence,static_workflow,0.5,1,False,False,False,True,stale_context,,stale_context,1,0,0,0,80,1,False,Outdated policy: Product A support is 6 months.,True,['stale_context']
retrieval_002,retrieval_evidence,static_workflow,0.5,2,False,False,False,True,timeout,,timeout,1,0,0,0,5000,1,False,,True,['timeout']
retrieval_002,retrieval_evidence,retry_only,0.4,2,True,True,False,False,,,stale_context,2,0,0,1,160,2,False,Product B has a refund window of 30 days.,True,['stale_context']
retrieval_002,retrieval_evidence,retry_only,0.4,3,True,True,False,False,,,"timeout,partial_response",3,0,0,2,5160,3,False,Product B has a refund window of 30 days.,True,"['timeout', 'partial_response']"
retrieval_002,retrieval_evidence,retry_only,0.5,3,True,True,False,False,,,stale_context,2,0,0,1,160,2,False,Product B has a refund window of 30 days.,True,['stale_context']
retrieval_002,retrieval_evidence,react_style,0.1,1,True,True,False,False,,,partial_response,2,2,0,1,160,4,False,Product B has a refund window of 30 days.,True,['partial_response']
retrieval_002,retrieval_evidence,react_style,0.4,1,True,True,False,False,,,partial_response,2,2,0,1,160,4,False,Product B has a refund window of 30 days.,True,['partial_response']
retrieval_002,retrieval_evidence,react_style,0.5,1,True,True,False,False,,,partial_response,2,2,0,1,160,4,False,Product B has a refund window of 30 days.,True,['partial_response']
retrieval_002,retrieval_evidence,full_replanning,0.2,1,True,True,False,False,,,malformed_output,2,2,0,1,160,4,False,Product B has a refund window of 30 days.,True,['malformed_output']
retrieval_002,retrieval_evidence,full_replanning,0.2,3,True,True,False,False,,,stale_context,2,2,0,1,160,4,False,Product B has a refund window of 30 days.,True,['stale_context']
retrieval_002,retrieval_evidence,full_replanning,0.4,1,True,True,False,False,,,partial_response,2,2,0,1,160,4,False,Product B has a refund window of 30 days.,True,['partial_response']
retrieval_002,retrieval_evidence,full_replanning,0.4,3,True,True,False,False,,,partial_response,2,2,0,1,160,4,False,Product B has a refund window of 30 days.,True,['partial_response']
retrieval_002,retrieval_evidence,full_replanning,0.5,1,True,True,False,False,,,"malformed_output,malformed_output",3,3,0,2,240,6,False,Product B has a refund window of 30 days.,True,"['malformed_output', 'malformed_output']"
retrieval_002,retrieval_evidence,self_healing,0.2,3,True,True,False,False,,context_failure,stale_context,2,0,1,1,160,3,False,Product B has a refund window of 30 days.,True,['stale_context']
retrieval_002,retrieval_evidence,self_healing,0.3,1,True,True,False,False,,schema_or_output_failure,malformed_output,2,0,1,1,160,3,False,Product B has a refund window of 30 days.,True,['malformed_output']
retrieval_002,retrieval_evidence,self_healing,0.3,2,True,True,False,False,,schema_or_output_failure,malformed_output,2,0,1,1,160,3,False,Product B has a refund window of 30 days.,True,['malformed_output']
retrieval_002,retrieval_evidence,self_healing,0.4,1,True,True,False,False,,schema_or_output_failure,malformed_output,2,0,1,1,160,3,False,Product B has a refund window of 30 days.,True,['malformed_output']
retrieval_002,retrieval_evidence,self_healing,0.5,1,True,True,False,False,,schema_or_output_failure,"timeout,partial_response",3,0,1,2,5160,4,False,Product B has a refund window of 30 days.,True,"['timeout', 'partial_response']"
retrieval_002,retrieval_evidence,self_healing,0.5,2,True,True,False,False,,schema_or_output_failure,partial_response,2,0,1,1,160,3,False,Product B has a refund window of 30 days.,True,['partial_response']
retrieval_003,retrieval_evidence,static_workflow,0.2,2,False,False,False,True,partial_response,,partial_response,1,0,0,0,80,1,False,Partial response only,True,['partial_response']
retrieval_003,retrieval_evidence,static_workflow,0.2,3,False,False,False,True,malformed_output,,malformed_output,1,0,0,0,80,1,False,"{bad_json: missing_quotes, broken",True,['malformed_output']
retrieval_003,retrieval_evidence,static_workflow,0.3,1,False,False,False,True,timeout,,timeout,1,0,0,0,5000,1,False,,True,['timeout']
