method,recovery_budget_level,fault_type,executions,success_rate,silent_failure_rate,safe_degradation_rate,detected_failure_rate,recovery_success_rate,fault_scheduled_rate,fault_injected_rate,avg_model_calls,avg_tool_calls,avg_judge_calls,avg_recovery_steps,avg_input_tokens,avg_output_tokens,avg_cost_usd
full_replanning,1,malformed_output,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.6666666666666665,1.0,1.0,3843.0,391.3333333333333,0.0
full_replanning,1,stale_context,2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,4041.0,417.0,0.0
full_replanning,1,timeout,4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.5,1.0,1.0,3779.25,379.0,0.0
full_replanning,1,unavailable_tool,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,4000.0,397.0,0.0
full_replanning,1,wrong_but_plausible,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,4051.0,431.0,0.0
full_replanning,2,malformed_output,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.6666666666666665,1.0,1.0,3838.3333333333335,399.0,0.0
full_replanning,2,stale_context,2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,4029.0,390.0,0.0
full_replanning,2,timeout,4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.5,1.0,1.0,3785.25,389.0,0.0
full_replanning,2,unavailable_tool,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,4000.0,392.0,0.0
full_replanning,2,wrong_but_plausible,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,4049.0,413.0,0.0
full_replanning,3,malformed_output,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.6666666666666665,1.0,1.0,3838.3333333333335,386.3333333333333,0.0
full_replanning,3,stale_context,2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,4026.0,408.5,0.0
full_replanning,3,timeout,4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.5,1.0,1.0,3785.25,384.5,0.0
full_replanning,3,unavailable_tool,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,4002.0,410.0,0.0
full_replanning,3,wrong_but_plausible,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,4085.0,437.0,0.0
retry_only,1,malformed_output,3,1.0,0.0,0.0,1.0,0.0,1.0,1.0,4.333333333333333,4.666666666666667,1.0,0.0,4964.0,413.6666666666667,0.0
retry_only,1,stale_context,2,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.5,4.5,1.0,0.0,4351.0,433.5,0.0
retry_only,1,timeout,4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.5,1.0,1.0,3794.0,379.25,0.0
retry_only,1,unavailable_tool,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,3964.0,372.0,0.0
retry_only,1,wrong_but_plausible,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,4.0,1.0,0.0,3735.0,412.0,0.0
retry_only,2,malformed_output,3,1.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,4.666666666666667,1.0,0.0,4716.0,411.6666666666667,0.0
retry_only,2,stale_context,2,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.5,4.5,1.0,0.0,4372.0,418.5,0.0
retry_only,2,timeout,4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.5,1.0,1.0,3749.25,382.75,0.0
retry_only,2,unavailable_tool,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,3960.0,421.0,0.0
retry_only,2,wrong_but_plausible,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,4.0,1.0,0.0,3759.0,427.0,0.0
retry_only,3,malformed_output,3,1.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,4.666666666666667,1.0,0.0,4714.0,428.0,0.0
retry_only,3,stale_context,2,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,4.0,1.0,0.0,3735.0,415.5,0.0
retry_only,3,timeout,4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.5,1.0,1.0,3764.25,394.25,0.0
retry_only,3,unavailable_tool,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,3936.0,367.0,0.0
retry_only,3,wrong_but_plausible,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,4.0,1.0,0.0,3759.0,420.0,0.0
self_healing,1,malformed_output,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.6666666666666665,1.0,1.0,3894.0,395.0,0.0
self_healing,1,stale_context,2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,4098.0,425.5,0.0
self_healing,1,timeout,4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.5,1.0,1.0,3836.0,383.5,0.0
self_healing,1,unavailable_tool,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,4080.0,421.0,0.0
