semantic_fault_intensity,method,success_rate,silent_failure_rate,failure_detection_rate,recovery_rate,avg_cost_proxy
0.0,semantic_full_replanning,100.0,0.0,0.0,0.0,2.74
0.0,semantic_react_style,100.0,0.0,0.0,0.0,2.74
0.0,semantic_retry_only,100.0,0.0,0.0,0.0,1.74
0.0,semantic_self_healing,100.0,0.0,0.0,0.0,2.74
0.0,semantic_self_healing_no_verifier,100.0,0.0,0.0,0.0,1.74
0.0,semantic_static_workflow,100.0,0.0,0.0,0.0,1.74
0.1,semantic_full_replanning,87.7,12.3,0.0,0.0,2.74
0.1,semantic_react_style,93.0,7.0,0.0,0.0,2.74
0.1,semantic_retry_only,91.7,8.3,0.0,0.0,1.74
0.1,semantic_self_healing,100.0,0.0,0.0,7.3,2.94
0.1,semantic_self_healing_no_verifier,88.3,11.7,0.0,0.0,1.74
0.1,semantic_static_workflow,88.7,11.3,0.0,0.0,1.74
0.2,semantic_full_replanning,79.3,20.7,0.0,0.0,2.74
0.2,semantic_react_style,82.7,17.3,0.0,0.0,2.74
0.2,semantic_retry_only,82.3,17.7,0.0,0.0,1.74
0.2,semantic_self_healing,100.0,0.0,0.0,18.7,3.24
0.2,semantic_self_healing_no_verifier,76.3,23.7,0.0,0.0,1.74
0.2,semantic_static_workflow,82.0,18.0,0.0,0.0,1.74
0.3,semantic_full_replanning,71.0,29.0,0.0,0.0,2.74
0.3,semantic_react_style,71.3,28.7,0.0,0.0,2.74
0.3,semantic_retry_only,67.7,32.3,0.0,0.0,1.74
0.3,semantic_self_healing,100.0,0.0,0.0,29.7,3.57
0.3,semantic_self_healing_no_verifier,65.0,35.0,0.0,0.0,1.74
0.3,semantic_static_workflow,68.7,31.3,0.0,0.0,1.74
